,Name,Risk,Category,Rating,1 Year Return,3 Years Return,5 Years Return
1042,Axis CRISIL IBX 70:30 CPSE Plus SDL April 2025 Index Fund Direct Growth,Low to Moderate Risk,Other,,NA%,NA%,NA%
1043,Navi US Total Stock Market FoF Direct Growth,Very High Risk,Other,,NA%,NA%,NA%
1044,ICICI Prudential Nifty Bank Index Fund Direct Growth,Very High Risk,Other,,NA%,NA%,NA%
1045,Aditya Birla Sun Life CRISIL IBX AAA Jun 2023 Index Fund Direct Growth,Low to Moderate Risk,Other,,NA%,NA%,NA%
1046,Edelweiss CRISIL PSU Plus SDL 50:50 Oct 2025 Index Fund Direct Growth,Low to Moderate Risk,Other,,NA%,NA%,NA%
1047,Tata Nifty India Digital ETF FoF Direct Growth,Very High Risk,Other,,NA%,NA%,NA%
1048,Aditya Birla Sun Life Long Duration Fund Direct Growth,Moderate Risk,Debt,,NA%,NA%,NA%
1049,Motilal Oswal S&P BSE Enhanced Value Index Fund Direct Growth,Very High Risk,Other,,NA%,NA%,NA%
1050,WhiteOak Capital Mid Cap Fund Direct Growth,Very High Risk,Equity,,NA%,NA%,NA%
1051,Tata Housing Opportunities Fund Direct Growth,Very High Risk,Equity,,NA%,NA%,NA%
1052,Mirae Asset Global Electric & Autonomous Vehicles ETFs FoF Direct Growth,Very High Risk,Other,,NA%,NA%,NA%
1053,Edelweiss Gold and Silver ETF FoF Direct Growth,Very High Risk,Other,,NA%,NA%,NA%
1054,Union Retirement Fund Direct Growth,Very High Risk,Solution Oriented,,NA%,NA%,NA%
1055,SBI CRISIL IBX Gilt Index June 2036 Fund Direct Growth,Moderate Risk,Other,,NA%,NA%,NA%
1056,Aditya Birla Sun Life Multi Index FoF Direct Growth,Moderately High Risk,Other,,NA%,NA%,NA%
1057,ICICI Prudential Transportation and Logistics Fund Direct Growth,Moderate Risk,Equity,,NA%,NA%,NA%
1058,HDFC Silver ETF FoF Direct Growth,Very High Risk,Other,,NA%,NA%,NA%
1059,Aditya Birla Sun Life CRISIL IBX Gilt Apr 2029 Index Fund Direct Growth,Moderate Risk,Other,,NA%,NA%,NA%
1060,WhiteOak Capital Large Cap Fund Direct Growth,Very High Risk,Equity,,NA%,NA%,NA%
1061,Tata Business Cycle Fund Direct Growth,Very High Risk,Equity,,18.47%,NA%,NA%
1062,TRUSTMF Short Term Fund Direct Growth,Low to Moderate Risk,Debt,,3.61%,NA%,NA%
1063,TRUSTMF Liquid Fund Direct Growth,Low to Moderate Risk,Debt,2,4.63%,NA%,NA%
1064,Motilal Oswal 5 Year G Sec FoF Direct Growth,Moderate Risk,Other,,1.88%,NA%,NA%
1065,Edelweiss NIFTY PSU Bond Plus SDL Apr 2027 50:50 Index Direct Growth,Moderate Risk,Other,,2.27%,NA%,NA%
1066,ITI Pharma and Healthcare Fund Direct Growth,Very High Risk,Equity,,0.55%,NA%,NA%
1067,IDFC Multi Cap Fund Direct Growth,Very High Risk,Equity,,NA%,NA%,NA%
1068,Edelweiss NIFTY Large Mid Cap 250 Index Fund Direct Growth,Very High Risk,Other,,NA%,NA%,NA%
1069,PGIM India Global Select Real Estate Securities FoF Direct Growth,Very High Risk,Other,,NA%,NA%,NA%
1070,SBI CPSE Bond Plus SDL Sep 2026 50:50 Index Fund Direct Growth,Moderate Risk,Other,,NA%,NA%,NA%
1071,ICICI Prudential Silver ETF FoF Direct Growth,Very High Risk,Other,,NA%,NA%,NA%
1072,Navi Nifty Bank Index Fund Direct Growth,Very High Risk,Other,,NA%,NA%,NA%
1073,Samco Flexi Cap Fund Direct Growth,Very High Risk,Equity,,NA%,NA%,NA%
1074,UTI S&P BSE Sensex Index Fund Direct Growth,Very High Risk,Other,,NA%,NA%,NA%
1075,Invesco India Flexi Cap Fund Direct Growth,Very High Risk,Equity,,NA%,NA%,NA%
1076,Axis Equity ETFs FoF Direct Growth,Very High Risk,Other,,NA%,NA%,NA%
1077,HDFC Nifty 100 Index Fund Direct Growth,Very High Risk,Other,,NA%,NA%,NA%
1078,SBI Multicap Fund Direct Growth,Very High Risk,Equity,,NA%,NA%,NA%
1079,UTI S&P BSE Low Volatility Index Fund Direct Growth,Very High Risk,Other,,NA%,NA%,NA%
1080,ICICI Prudential Nifty 200 Momentum 30 Index Fund Direct Growth,Very High Risk,Other,,NA%,NA%,NA%
1081,ICICI Prudential Nifty50 Equal Weight Index Fund Direct Growth,Very High Risk,Other,,NA%,NA%,NA%
1082,ICICI Prudential Nifty Auto Index Fund Direct Growth,Very High Risk,Other,,NA%,NA%,NA%
1083,Motilal Oswal Gold and Silver ETFs FoF Direct Growth,Very High Risk,Other,,NA%,NA%,NA%
1084,IDFC Transportation and Logistics Fund Direct Growth,Low to Moderate Risk,Equity,,NA%,NA%,NA%
1085,Samco Overnight Fund Direct Growth,Low Risk,Debt,,NA%,NA%,NA%
1086,ICICI Prudential Nifty SDL Dec 2028 Index Fund Direct Growth,Moderate Risk,Other,,NA%,NA%,NA%
1087,Mirae Asset CRISIL IBX Gilt Index April 2033 Index Fund Direct Growth,Moderate Risk,Other,,NA%,NA%,NA%
1088,IDFC CRISIL IBX 90:10 SDL Plus Gilt November 2026 Index Fund Direct Growth,Moderate Risk,Other,,NA%,NA%,NA%
1089,Axis Greater China Equity FoF Direct Growth,Very High Risk,Other,,NA%,NA%,NA%
1090,BNP Paribas Overnight Fund Direct Growth,Low Risk,Debt,3,3.25%,NA%,NA%
1091,Mirae Asset Hang Seng TECH ETF FoF Direct Growth,Very High Risk,Other,,NA%,NA%,NA%
1092,HSBC Nifty 50 Index Fund Direct Growth,Very High Risk,Other,,6.75%,NA%,NA%
1093,Tata Corporate Bond Fund Direct Growth,Low to Moderate Risk,Debt,,NA%,NA%,NA%
1094,SBI Capital Protection Oriented Fund Series A (Plan 8) Direct Growth,Moderate Risk,Hybrid,,7.35%,NA%,NA%
1095,Sundaram Ultra Short Term Fund Direct Growth,Moderate Risk,Debt,3,3.69%,NA%,NA%
1096,Axis Retirement Savings Fund Aggressive Plan Direct Growth,Moderately High Risk,Solution Oriented,,-3.90%,NA%,NA%
1097,Tata Quant Fund Direct Growth,Very High Risk,Equity,,5.39%,NA%,NA%
1098,Axis All Seasons Debt FoF Direct Growth,Moderate Risk,Other,4,3.61%,NA%,NA%
1099,ICICI Prudential India Equity FOF Direct Growth,Very High Risk,Other,,11.01%,NA%,NA%
1100,HSBC Ultra Short Duration Fund Direct Growth,Low to Moderate Risk,Debt,3,4.55%,NA%,NA%
1101,Edelweiss US Technology Equity FoF Direct Growth,Very High Risk,Other,,-34.05%,NA%,NA%
1102,Motilal Oswal S&P 500 Index Fund Direct Growth,Very High Risk,Other,,-1.57%,NA%,NA%
1103,Mirae Asset Arbitrage Fund Direct Growth,Low Risk,Hybrid,,4.33%,NA%,NA%
1104,Invesco India Overnight Fund Direct Growth,Low Risk,Debt,3,4.47%,NA%,NA%
1105,ITI Balanced Advantage Fund Direct Growth,Moderately High Risk,Hybrid,,0.31%,NA%,NA%
1106,Bank of India Flexi Cap Fund Direct Growth,Very High Risk,Equity,5,7.23%,NA%,NA%
1107,BHARAT Bond FOF April 2025 Direct Growth,Low to Moderate Risk,Other,2,2.04%,NA%,NA%
1108,Nippon India Multi Asset Fund Direct Growth,Very High Risk,Hybrid,,7.70%,NA%,NA%
1109,Kotak ESG Opportunities Fund Direct Growth,Very High Risk,Equity,,2.91%,NA%,NA%
1110,HDFC Dividend Yield Fund Direct Growth,Very High Risk,Equity,,13.21%,NA%,NA%
1111,Invesco India ESG Equity Fund Direct Growth,Very High Risk,Equity,,-4.35%,NA%,NA%
1112,Aditya Birla Sun Life Nifty Smallcap 50 Index Fund Direct Growth,Very High Risk,Other,,-11.49%,NA%,NA%
1113,Baroda BNP Paribas Funds Aqua FoF Direct Growth,Very High Risk,Other,5,-6.39%,NA%,NA%
1114,HSBC Focused Fund Direct Growth,Very High Risk,Equity,,5.73%,NA%,NA%
1115,Bank of India Overnight Fund Direct Growth,Low Risk,Debt,5,4.59%,NA%,NA%
1116,Baroda BNP Paribas Large & Mid Cap Fund Direct Growth,Very High Risk,Equity,,5.90%,NA%,NA%
1117,Quant ESG Equity Fund Direct Growth,Very High Risk,Equity,,22.94%,NA%,NA%
1118,ITI Large Cap Fund Direct Growth,Very High Risk,Equity,,4.58%,NA%,NA%
1119,Invesco India Invesco Global Consumer Trends FoF Direct Growth,Very High Risk,Other,,-34.27%,NA%,NA%
1120,SBI Retirement Benefit Fund Conservative Plan Direct Growth,Moderately High Risk,Solution Oriented,,5.99%,NA%,NA%
1121,Nippon India Nifty Midcap 150 Index Fund Direct Growth,Very High Risk,Other,,7.74%,NA%,NA%
1122,PGIM India Balanced Advantage Fund Direct Growth,Very High Risk,Hybrid,,6.79%,NA%,NA%
1123,Motilal Oswal Asset Allocation Passive FoF Conservative Direct Growth,High Risk,Other,,4.30%,NA%,NA%
1124,Kotak Nifty Next 50 Index Fund Direct Growth,Very High Risk,Other,,5.01%,NA%,NA%
1125,Aditya Birla Sun Life Nifty Midcap 150 Index Fund Direct Growth,Very High Risk,Other,,7.91%,NA%,NA%
1126,UTI Credit Risk Fund Segregated Portfolio 4 Direct Growth,Moderate Risk,Debt,,NA%,NA%,NA%
1127,Kotak Nifty 50 Index Fund Direct Growth,Very High Risk,Other,,8.68%,NA%,NA%
1128,ITI Value Fund Direct Growth,Very High Risk,Equity,,9.63%,NA%,NA%
1129,HDFC Banking & Financial Services Fund Direct Growth,Very High Risk,Equity,,12.50%,NA%,NA%
1130,ICICI Prudential Flexicap Fund Direct Growth,Very High Risk,Equity,,13.61%,NA%,NA%
1131,Navi Nifty 50 Index Fund Direct Growth,Very High Risk,Other,,8.59%,NA%,NA%
1132,UTI Focused Equity Fund Direct Growth,Very High Risk,Equity,,5.75%,NA%,NA%
1133,Axis Value Fund Direct Growth,Very High Risk,Equity,,4.73%,NA%,NA%
1134,Kotak Multicap Fund Direct Growth,Very High Risk,Equity,,15.54%,NA%,NA%
1135,Aditya Birla Sun Life Nifty SDL Plus PSU Bond Sep 2026 60:40 Index Fund Direct Growth,Moderate Risk,Other,,2.03%,NA%,NA%
1136,IIFL Quant Fund Direct Growth,Very High Risk,Equity,,9.35%,NA%,NA%
1137,Axis Nifty 50 Index Fund Direct Growth,Very High Risk,Other,,NA%,NA%,NA%
1138,Nippon India Taiwan Equity Fund Direct Growth,Very High Risk,Equity,,NA%,NA%,NA%
1139,BHARAT Bond ETF FOF April 2032 Direct Growth,Moderate Risk,Other,,NA%,NA%,NA%
1140,Mahindra Manulife Balanced Advantage Yojana Direct Growth,Very High Risk,Hybrid,,NA%,NA%,NA%
1141,Kotak Nifty SDL Apr 2027 Top 12 Equal Weight Index Fund Direct Growth,Moderate Risk,Other,,NA%,NA%,NA%
1142,Axis Nifty Smallcap 50 Index Fund Direct Growth,Very High Risk,Other,,NA%,NA%,NA%
1143,Axis CRISIL IBX SDL May 2027 Index Fund Direct Growth,Moderate Risk,Other,,NA%,NA%,NA%
1144,Navi NASDAQ 100 FoF Direct Growth,Very High Risk,Other,,NA%,NA%,NA%
1145,Edelweiss Focused Equity Fund Direct Growth,Very High Risk,Equity,,NA%,NA%,NA%
1146,WhiteOak Capital Tax Saver Fund Direct Growth,Very High Risk,Equity,,NA%,NA%,NA%
1147,Sundaram Flexi Cap Fund Direct Growth,High Risk,Equity,,NA%,NA%,NA%
1148,Mirae Asset Global X Artificial Intelligence & Technology ETF FoF Direct Growth,Very High Risk,Other,,NA%,NA%,NA%
1149,Aditya Birla Sun Life Nifty SDL Sep 2025 Index Fund Direct Growth,Low to Moderate Risk,Other,,NA%,NA%,NA%
1150,SBI CRISIL IBX SDL Index September 2027 Fund Direct Growth,Moderate Risk,Other,,NA%,NA%,NA%
1151,ICICI Prudential Nifty G Sec Dec 2030 Index Fund Direct Growth,Moderate Risk,Other,,NA%,NA%,NA%
1152,LIC MF Multi Cap Fund Direct Growth,Very High Risk,Equity,,NA%,NA%,NA%
1153,JM Midcap Fund Direct Growth,Very High Risk,Equity,,NA%,NA%,NA%
1154,HDFC Nifty G sec Dec 2026 Index Direct Growth,Moderate Risk,Other,,NA%,NA%,NA%
1155,Axis Quant Fund Direct Growth,Very High Risk,Equity,,3.32%,NA%,NA%
1156,ITI Dynamic Bond Fund Direct Growth,Low Risk,Debt,,4.52%,NA%,NA%
1157,ICICI Prudential NASDAQ 100 Index Fund Direct Growth,Very High Risk,Other,,-17.98%,NA%,NA%
1158,NJ Balanced Advantage Fund Direct Growth,Very High Risk,Hybrid,,3.02%,NA%,NA%
1159,LIC MF Balanced Advantage Fund Direct Growth,Moderately High Risk,Hybrid,,8.70%,NA%,NA%
1160,ITI Banking and Financial Services Fund Direct Growth,Very High Risk,Equity,,NA%,NA%,NA%
1161,HDFC Multi Cap Fund Direct Growth,Very High Risk,Equity,,NA%,NA%,NA%
1162,ICICI Prudential Nifty Midcap 150 Index Fund Direct Growth,Very High Risk,Other,,NA%,NA%,NA%
1163,Aditya Birla Sun Life Nifty Next 50 Index Fund Direct Growth,Very High Risk,Other,,NA%,NA%,NA%
1164,IDFC Nifty 100 Index Fund Direct Growth,Very High Risk,Other,,NA%,NA%,NA%
1165,HDFC NIFTY 100 Equal Weight Index Fund Direct Growth,Very High Risk,Other,,NA%,NA%,NA%
1166,Kotak Nifty SDL Apr 2032 Top 12 Equal Weight Index Fund Direct Growth,Moderate Risk,Other,,NA%,NA%,NA%
1167,ICICI Prudential Housing Opportunities Fund Direct Growth,Very High Risk,Equity,,NA%,NA%,NA%
1168,ICICI Prudential Nifty SDL Sep 2027 Index Fund Direct Growth,Moderate Risk,Other,,NA%,NA%,NA%
1169,WhiteOak Capital Flexi Cap Fund Direct Growth,Very High Risk,Equity,,NA%,NA%,NA%
1170,Baroda BNP Paribas Flexi Cap Fund Direct Growth,Very High Risk,Equity,,NA%,NA%,NA%
1171,ICICI Prudential Nifty IT Index Fund Direct Growth,Very High Risk,Other,,NA%,NA%,NA%
1172,JM Short Duration Fund Direct Growth,Low to Moderate Risk,Debt,,NA%,NA%,NA%
1173,Shriram Overnight Fund Direct Growth,Low Risk,Debt,,NA%,NA%,NA%
1174,Kotak Business Cycle Fund Direct Growth,Moderately High Risk,Equity,,NA%,NA%,NA%
1175,SBI Nifty Midcap 150 Index Fund Direct Growth,Very High Risk,Other,,NA%,NA%,NA%
1176,SBI CRISIL IBX Gilt Index April 2029 Fund Direct Growth,Moderate Risk,Other,,NA%,NA%,NA%
1177,Axis NASDAQ 100 FoF Direct Growth,Very High Risk,Other,,NA%,NA%,NA%
1178,Nippon India Nifty AAA PSU Bond Plus SDL Sep 2026 Maturity 50:50 Index Fund Direct Growth,Moderate Risk,Other,,NA%,NA%,NA%
1179,IDFC CRISIL IBX 90:10 SDL Plus Gilt April 2032 Index Fund Direct Growth,Moderate Risk,Other,,NA%,NA%,NA%
1180,Edelweiss Nifty Midcap150 Momentum 50 Index Fund Direct Growth,Very High Risk,Other,,NA%,NA%,NA%
1181,Edelweiss Nifty Smallcap 250 Index Fund Direct Growth,Very High Risk,Other,,NA%,NA%,NA%
